year,surface,money
1976,Carpet,10100000
1976,Clay,15200000
1976,Grass,1900000
1976,Hard,8700000
1977,Carpet,12400000
1977,Clay,17700000
1977,Grass,5500000
1977,Hard,7300000
1978,Carpet,12600000
1978,Clay,18900000
1978,Grass,4300000
1978,Hard,9900000
1979,Carpet,11400000
1979,Clay,17000000
1979,Grass,4100000
1979,Hard,11400000
1980,Carpet,11500000
1980,Clay,15500000
1980,Grass,3700000
1980,Hard,10500000
1981,Carpet,7600000
1981,Clay,14400000
1981,Grass,3700000
1981,Hard,10200000
1982,Carpet,19200000
1982,Clay,16100000
1982,Grass,4700000
1982,Hard,12200000
1983,Carpet,8200000
1983,Clay,15400000
1983,Grass,4800000
1983,Hard,12300000
1984,Carpet,7400000
1984,Clay,12600000
1984,Grass,5700000
1984,Hard,10700000
1985,Carpet,9500000
1985,Clay,12800000
1985,Grass,5800000
1985,Hard,14200000
1986,Carpet,8900000
1986,Clay,13700000
1986,Grass,4100000
1986,Hard,14100000
1987,Carpet,8800000
1987,Clay,15400000
1987,Grass,6100000
1987,Hard,18400000
1988,Carpet,10600000
1988,Clay,17100000
1988,Grass,5300000
1988,Hard,21400000
1989,Carpet,11800000
1989,Clay,18500000
1989,Grass,5800000
1989,Hard,21300000
1990,Carpet,30500000
1990,Clay,23400000
1990,Grass,7400000
1990,Hard,29900000
1991,Carpet,27700000
1991,Clay,24900000
1991,Grass,8400000
1991,Hard,31800000
1992,Carpet,29000000
1992,Clay,28700000
1992,Grass,8700000
1992,Hard,32700000
1993,Carpet,30400000
1993,Clay,34200000
1993,Grass,9300000
1993,Hard,41000000
1994,Carpet,31600000
1994,Clay,35600000
1994,Grass,10000000
1994,Hard,42200000
1995,Carpet,35100000
1995,Clay,37500000
1995,Grass,8300000
1995,Hard,41500000
1996,Carpet,27700000
1996,Clay,37000000
1996,Grass,11900000
1996,Hard,44200000
1997,Carpet,26900000
1997,Clay,36300000
1997,Grass,12700000
1997,Hard,44700000
1998,Carpet,14200000
1998,Clay,36600000
1998,Grass,12900000
1998,Hard,57000000
1999,Carpet,10600000
1999,Clay,34400000
1999,Grass,12700000
1999,Hard,54800000
2000,Carpet,7700000
2000,Clay,34400000
2000,Grass,12500000
2000,Hard,54400000
2001,Carpet,8000000
2001,Clay,34200000
2001,Grass,12000000
2001,Hard,51600000
2002,Carpet,7600000
2002,Clay,32300000
2002,Grass,12300000
2002,Hard,51500000
2003,Carpet,7300000
2003,Clay,33800000
2003,Grass,13700000
2003,Hard,47600000
2004,Carpet,8500000
2004,Clay,33300000
2004,Grass,14900000
2004,Hard,52300000
2005,Carpet,8700000
2005,Clay,32700000
2005,Grass,14800000
2005,Hard,51300000
2006,Carpet,7900000
2006,Clay,32400000
2006,Grass,14500000
2006,Hard,50700000
2007,Carpet,2700000
2007,Clay,32700000
2007,Grass,15900000
2007,Hard,59500000
2008,Carpet,600000
2008,Clay,19100000
2008,Grass,5500000
2008,Hard,56500000
2009,Clay,22300000
2009,Grass,6600000
2009,Hard,71400000
2010,Clay,22500000
2010,Grass,7000000
2010,Hard,69100000
2011,Clay,22000000
2011,Grass,6900000
2011,Hard,72300000
2012,Clay,23900000
2012,Grass,7300000
2012,Hard,77000000
2013,Clay,24800000
2013,Grass,9700000
2013,Hard,85100000
2014,Clay,26700000
2014,Grass,10100000
2014,Hard,90100000
2015,Clay,34500000
2015,Grass,14100000
2015,Hard,109300000
2016,Clay,38900000
2016,Grass,16000000
2016,Hard,118600000
2017,Clay,40200000
2017,Grass,17400000
2017,Hard,129000000
2018,Clay,41500000
2018,Grass,17100000
2018,Hard,139400000
2019,Clay,43500000
2019,Grass,19300000
2019,Hard,147800000
